,1m,3m,5m,15m,30m,1h,2h,4h,6h,8h,12h,1d
Date,2024/03/25 23:41:00,2024/03/25 23:39:00,2024/03/25 23:35:00,2024/03/25 23:15:00,2024/03/25 23:00:00,2024/03/25 22:00:00,2024/03/25 21:00:00,2024/03/25 19:00:00,2024/03/25 13:00:00,2024/03/25 15:00:00,2024/03/25 07:00:00,2024/03/24 07:00:00
Ema_23,3582.056136018221,3582.299180438524,3577.672087261554,3568.593119096752,3567.4567840527925,3571.166939714197,3570.8090769159544,3570.8090769159544,3436.1899999999996,3571.4272913903997,3436.1899999999996,3454.98
Ema_24,3580.65746246478,3580.8988941905536,3576.4010249197486,3567.5974610817293,3566.43912323698,3569.965934967379,3569.5803106202166,3569.5803106202166,3436.19,3570.269646392302,3436.19,3454.98
Ema_25,3579.2567514834686,3579.497281991738,3575.121056906789,3566.570858475573,3565.3940029028395,3568.7379382537215,3568.3255588763323,3568.3255588763323,3436.19,3569.0875199902353,3436.19,3454.980000000001
Ema_26,3577.857092501532,3578.0973544004783,3573.835690187791,3565.5189297759107,3564.3266865287687,3567.488524080448,3567.050473580513,3567.050473580513,3436.19,3567.886236947257,3436.19,3454.98
Ema_27,3576.4612839573515,3576.701840673861,3572.5481294734636,3564.4467509227406,3563.241924447806,3566.2227178110206,3565.7601307331465,3565.7601307331465,3436.19,3566.670579463596,3436.19,3454.9800000000005
Ema_28,3575.0718302771693,3575.3131841022705,3571.2612684041883,3563.358878564471,3562.1439766291096,3564.9450210079594,3564.459060659964,3564.459060659964,3436.19,3565.4448156486087,3436.19,3454.98
Ema_29,3573.6909490109106,3573.933547893932,3569.977693418593,3562.2593810056815,3561.036642384296,3563.6594437181147,3563.151284504401,3563.151284504401,3436.19,3564.212733900946,3436.19,3454.98
Ema_30,3572.3205844874783,3572.564827856005,3568.6996958367345,3561.1518732771506,3559.9232937584015,3562.3695404164428,3561.8403537498566,3561.8403537498566,3436.19,3562.9776801432754,3436.19,3454.980000000001
Ema_31,3570.96242537029,3571.2086691752484,3567.429288967987,3560.0395538565685,3558.8069103503803,3561.078447313082,3560.5293905372955,3560.5293905372955,3436.19,3561.7425958062668,3436.19,3454.98
Ema_32,3569.6179242582907,3569.866485389986,3566.168227996134,3558.9252413646136,3557.6901140319455,3559.788919460454,3559.221127281833,3559.221127281833,3436.1900000000005,3560.51005515217,3436.1900000000005,3454.980000000001
Ema_33,3568.2883180438844,3568.539478227676,3564.918031083342,3557.811410138425,3556.5752025604015,3558.503366632027,3557.917944626772,3557.917944626772,3436.19,3559.2823010320644,3436.19,3454.979999999999
Ema_34,3566.9746481545258,3567.228657408808,3563.6800006349035,3556.700223997609,3555.464181458999,3557.223887330558,3556.621907155616,3556.621907155616,3436.19,3558.0612785308494,3436.19,3454.98
Ema_35,3565.6777801054604,3565.934859826125,3562.4552440263637,3555.59356780964,3554.3587938060978,3555.9523005580118,3555.3347965510984,3555.3347965510984,3436.189999999999,3556.848666207019,3436.189999999999,3454.979999999999
Ema_36,3564.398422007521,3564.65876772976,3561.244693352085,3554.493076664816,3553.260547761265,3554.6901751719047,3554.0581420762346,3554.0581420762346,3436.1899999999996,3555.645904809469,3436.1899999999996,3454.98
Ema_37,3563.1371418268313,3563.4009257054768,3560.0491239356716,3553.400162609446,3552.1707417840853,3553.4388567846604,3552.7932483776976,3552.7932483776976,3436.19,3554.4542234715973,3436.19,3454.98
Ema_38,3561.8943833003696,3562.161756342629,3558.869171469604,3552.3160389779723,3551.090487586334,3552.19949225069,3551.541220693632,3551.541220693632,3436.189999999999,3553.2746634600912,3436.189999999999,3454.9799999999996
Ema_39,3560.670480484552,3560.9415745636115,3557.7053477383306,3551.2417424236373,3550.0207309126286,3550.9730518424744,3550.3029875990915,3550.3029875990915,3436.1899999999982,3552.1080996038513,3436.1899999999982,3454.9799999999996
Ema_40,3559.465670962793,3559.7406006364017,3556.5580549373403,3550.178152782447,3548.9622702770957,3549.760349250948,3549.079321451202,3549.079321451202,3436.189999999999,3550.9552595557816,3436.189999999999,3454.98
Ema_41,3558.280107769442,3558.558971924304,3555.4275986385896,3549.1260109242353,3547.915773801239,3548.5620595638834,3547.8708567102976,3547.8708567102976,3436.19,3549.8167410534943,3436.19,3454.9799999999977
Ema_42,3557.113870106226,3557.3967534462836,3554.3141994758016,3548.0859347520623,3546.8817943049717,3547.3787353831976,3546.6781063166886,3546.6781063166886,3436.19,3548.693027348186,3436.19,3454.98
Ema_43,3555.966972937448,3556.2539473319002,3553.2180036361583,3547.058433511207,3545.8607828027816,3546.210821242185,3545.501476299732,3545.501476299732,3436.19,3547.5845009681366,3436.19,3454.9800000000023
Ema_44,3554.839375554332,3555.1305012594194,3552.139092250873,3546.0439205641746,3544.8531005523632,3545.058666478952,3544.3412787883685,3544.3412787883685,3436.19,3546.491455976187,3436.19,3454.9800000000005
Ema_45,3553.730989198683,3554.0263159656215,3551.0774897781607,3545.042724779924,3543.859029795355,3543.9225367140853,3543.1977435818526,3543.1977435818526,3436.19,3545.4141088707497,3436.19,3454.98
Ema_46,3552.6416838334144,3552.9412519136063,3550.0331714700483,3544.0551006759642,3542.8787833208617,3542.802624071463,3542.0710284283878,3542.0710284283878,3436.19,3544.3526082695266,3436.19,3454.9800000000005
Ema_47,3551.571294143025,3551.875135200402,3549.006070010398,3543.0812374412008,3541.912512972275,3541.699056270233,3540.9612281469,3540.9612281469,3436.19,3543.3070435032996,3436.19,3454.98
Ema_48,3550.5196248417274,3550.827762781123,3547.9960814061737,3542.121266956784,3540.9603172079405,3540.6119047055727,3539.868382715525,3539.868382715525,3436.19,3542.2774522362556,3436.19,3454.98
Ema_49,3549.486455361024,3549.798907080551,3547.0030702080903,3541.1752709214047,3540.0222478161118,3539.541191625212,3538.7924844385734,3538.7924844385734,3436.19,3541.263827218144,3436.19,3454.98
Ema_50,3548.471543982547,3548.7883200571464,3546.0268741304867,3540.2432871774436,3539.0983158751096,3538.486896498497,3537.733484292786,3537.733484292786,3436.1900000000005,3540.2661222631755,3436.1900000000005,3454.98
Ema_51,3547.4746314760637,3547.795736778684,3545.0673081343734,3539.325315324784,3538.188497040608,3537.4489616654614,3536.6912975434648,3536.6912975434648,3436.19,3539.284257541122,3436.19,3454.98
Ema_52,3546.4954442968974,3546.8208785631405,3544.124168031429,3538.4213217002844,3537.29273623372,3536.4272973444467,3535.665808711701,3535.665808711701,3436.19,3538.318124257017,3436.19,3454.98
Ema_53,3545.533697391588,3545.863455733075,3543.1972336612876,3537.5312437926364,3536.4109517956867,3535.421786068577,3534.656875965064,3534.656875965064,3436.1900000000005,3537.3675887877334,3436.1900000000005,3454.9800000000046
Ema_54,3544.589096655679,3544.9231700268824,3542.2862716890527,3536.6549941550797,3535.5430391681657,3534.4322866140556,3533.6643349964274,3533.6643349964274,3436.19,3536.432496336276,3436.19,3454.98
Ema_55,3543.6613410830555,3543.9997167058987,3541.3910380653783,3535.7924638716145,3534.6888741517587,3533.458637476699,3532.688002448685,3532.688002448685,3436.19,3535.5126741582976,3436.19,3454.98
Ema_56,3542.7501246417937,3543.0927863918964,3540.5112801866944,3534.9435256262805,3533.8483157895243,3532.500659946555,3531.7276789363,3531.7276789363,3436.19,3534.607934408742,3436.19,3454.98
Ema_57,3541.8551379080563,3542.2020666661224,3539.6467387895173,3534.1080364197924,3533.021208917421,3531.5581608256193,3530.7831517095324,3530.7831517095324,3436.19,3533.7180766518786,3436.19,3454.98
Ema_58,3540.976069485768,3541.32724345733,3538.797149608748,3533.285839972662,3532.2073864185895,3530.6309348281065,3529.854197001463,3529.854197001463,3436.19,3532.8428900724716,3436.19,3454.98
Ema_59,3540.112607237087,3540.4680022434372,3537.962244826925,3532.4767688499082,3531.406671214752,3529.718766698955,3528.9405820940246,3528.9405820940246,3436.19,3531.982155422237,3436.19,3454.98
Ema_60,3539.2644393455303,3539.624029088487,3537.1417543381526,3531.6806463382145,3530.618878023858,3528.8214330817937,3528.0420671346374,3528.0420671346374,3436.1899999999987,3531.135646731318,3436.1899999999987,3454.98
Ema_61,3538.4312552315514,3538.795011534392,3536.3354068480676,3530.8972881033583,3529.8438149102503,3527.9387041644695,3527.1584067318418,3527.1584067318418,3436.19,3530.3031328115753,3436.19,3454.98
Ema_62,3537.61274633778,3537.980639364503,3535.542930828512,3530.1265036521445,3529.081284650377,3527.0703451269674,3526.289351354977,3526.289351354977,3436.19,3529.4843785752464,3436.19,3454.98
Ema_63,3536.8086067994823,3537.180605254333,3534.764055343905,3529.3680976208902,3528.3310859348394,3526.2161174138755,3525.4346485602146,3525.4346485602146,3436.19,3528.679146190005,3436.19,3454.98
Ema_64,3536.01853401379,3536.394605322809,3533.9985107639386,3528.6218709095833,3527.5930144247886,3525.375779850833,3524.594044062425,3524.594044062425,3436.19,3527.887196088818,3436.19,3454.98
Ema_65,3535.2422291199005,3535.6223395960888,3533.246029375961,3527.8876216790327,3526.866863679266,3524.5490896227257,3523.7672826707703,3523.7672826707703,3436.19,3527.1082878513553,3436.19,3454.98
Ema_66,3534.479397400891,3534.8635123944773,3532.5063459086873,3527.165146226202,3526.152425967577,3523.7358031287604,3522.9541091031224,3522.9541091031224,3436.19,3526.3421809712763,3436.19,3454.98
Ema_67,3533.7297486167145,3534.11783265178,3531.7791979776853,3526.4542397513464,3525.449492979865,3522.9356767285994,3522.1542686934713,3522.1542686934713,3436.19,3525.5886355227067,3436.19,3454.98
Ema_68,3532.992997276752,3533.385014175496,3531.064326461781,3525.7546970290023,3524.7578564470414,3522.148467391449,3521.367508004253,3521.367508004253,3436.19,3524.8474127371114,3436.19,3454.98
Ema_69,3532.2688628593464,3532.6647758549916,3530.361475818648,3525.0663129935238,3524.077308680328,3521.3739332591927,3520.59357535458,3520.59357535458,3436.19,3524.118275500952,3436.19,3454.98
Ema_70,3531.557069984938,3531.9568418243607,3529.6703943467373,3524.3888832487037,3523.4076430394152,3520.611834133245,3519.8322212740336,3519.8322212740336,3436.19,3523.4009887832253,3436.19,3454.9800000000037
Ema_71,3530.8573485486136,3531.2609415854977,3528.990834400066,3523.722204510021,3522.748654337258,3519.8619318936844,3519.083198890511,3519.083198890511,3436.19,3522.6953200008393,3436.19,3454.98
Ema_72,3530.169433817255,3530.576810096698,3528.3225525615712,3523.0660749870144,3522.1001391886502,3519.1239908583607,3518.3462642597465,3518.3462642597465,3436.19,3522.00103932909,3436.19,3454.98
Ema_73,3529.493066495756,3529.904187830989,3527.665309779972,3522.4202947124686,3521.461896308862,3518.3977780887435,3517.621176643227,3517.621176643227,3436.19,3521.317919963466,3436.19,3454.9800000000005
Ema_74,3528.827992766438,3529.242820808383,3527.018871474763,3521.7846658244143,3520.833726768063,3517.683063648684,3516.9076987405683,3516.9076987405683,3436.19,3520.6457383385864,3436.19,3454.98
