,6h
Date,2024/04/01 12:00:00
Timestamp,1711972800000
Ema_1,71490.0
Ema_2,71245.60365797897
Ema_3,71170.4046875
Ema_4,71129.67459839999
Ema_5,71108.2336534065
Ema_6,71100.05913959563
Ema_7,71100.74611816407
Ema_8,71107.11373007018
Ema_9,71116.97960960004
Ema_10,71128.88883235025
Ema_11,71141.8857203075
Ema_12,71155.34846235809
Ema_13,71168.87640572504
Ema_14,71182.21510434533
Ema_15,71195.20685768126
Ema_16,71207.7580617706
Ema_17,71219.81757280884
Ema_18,71231.36229209098
Ema_19,71242.38750990001
Ema_20,71252.90040680792
Ema_21,71262.91566523431
Ema_22,71272.45250161784
Ema_23,71281.53266133819
Ema_24,71290.17906989959
Ema_25,71298.41493356731
Ema_26,71306.26314886015
Ema_27,71313.74592465309
Ema_28,71320.88455060529
Ema_29,71327.69926602508
Ema_30,71334.20919726856
Ema_31,71340.43234142661
Ema_32,71346.38558075973
Ema_33,71352.08471702301
Ema_34,71357.54451810886
Ema_35,71362.77877174558
Ema_36,71367.80034262245
Ema_37,71372.62123046652
Ema_38,71377.25262741142
Ema_39,71381.70497357656
Ema_40,71385.98801017988
Ema_41,71390.11082979509
Ema_42,71394.08192355979
Ema_43,71397.90922527868
Ema_44,71401.60015245831
Ema_45,71405.16164436932
Ema_46,71408.60019727032
Ema_47,71411.92189695031
Ema_48,71415.13244875692
Ema_49,71418.23720528117
Ema_50,71421.24119186775
Ema_51,71424.14913011449
Ema_52,71426.96545951713
Ema_53,71429.69435740689
Ema_54,71432.33975731803
Ema_55,71434.90536591543
Ema_56,71437.39467859884
Ema_57,71439.81099389544
Ema_58,71442.15742674006
Ema_59,71444.43692073695
Ema_60,71446.65225948638
Ema_61,71448.80607705556
Ema_62,71450.9008676628
Ema_63,71452.9389946418
Ema_64,71454.92269874369
Ema_65,71456.85410583185
Ema_66,71458.73523401828
Ema_67,71460.56800028747
Ema_68,71462.35422664773
Ema_69,71464.09564584876
Ema_70,71465.79390669902
Ema_71,71467.45057901474
Ema_72,71469.06715822924
Ema_73,71470.64506968847
Ema_74,71472.18567265742
Ema_75,71473.69026405891
Ema_76,71475.16008196534
Ema_77,71476.59630886138
Ema_78,71478.00007469548
Ema_79,71479.37245973459
Ema_80,71480.71449723745
Ema_81,71482.02717595917
Ema_82,71483.31144249903
Ema_83,71484.56820350314
Ema_84,71485.7983277316
Ema_85,71487.00264800017
Ema_86,71488.18196300519
Ema_87,71489.33703903857
Ema_88,71490.46861160256
Ema_89,71491.57738692903
Ema_90,71492.66404341033
Ema_91,71493.72923294849
Ema_92,71494.77358222648
Ema_93,71495.7976939081
Ema_94,71496.80214777045
Ema_95,71497.7875017731
Ema_96,71498.75429306882
Ema_97,71499.70303895845
Ema_98,71500.63423779448
Ema_99,71501.54836983574
Ema_100,71502.4458980569
