,4h
Date,2024/04/01 12:00:00
Timestamp,1711972800000
Ema_1,71099.9
Ema_2,70902.3962573456
Ema_3,70844.98066406249
Ema_4,70832.0543212544
Ema_5,70837.30179511932
Ema_6,70852.7906259447
Ema_7,70874.83481445312
Ema_8,70901.05090095181
Ema_9,70929.73644549122
Ema_10,70959.6719815857
Ema_11,70990.001211345
Ema_12,71020.13730840551
Ema_13,71049.68917887638
Ema_14,71078.40546888749
Ema_15,71106.13328846655
Ema_16,71132.78836851282
Ema_17,71158.33373969252
Ema_18,71182.76460991317
Ema_19,71206.09768832212
Ema_20,71228.36367531978
Ema_21,71249.60199871773
Ema_22,71269.8571412019
Ema_23,71289.17609486952
Ema_24,71307.60661413381
Ema_25,71325.19603411894
Ema_26,71341.99048931822
Ema_27,71358.03441505018
Ema_28,71373.37024803994
Ema_29,71388.03826641937
Ema_30,71402.07652648498
Ema_31,71415.52086571745
Ema_32,71428.40495027056
Ema_33,71440.76035138336
Ema_34,71452.6166396639
Ema_35,71464.00148942684
Ema_36,71474.94078760598
Ema_37,71485.45874344517
Ema_38,71495.57799638729
Ema_39,71505.31972045598
Ema_40,71514.70372405037
Ema_41,71523.74854452269
Ema_42,71532.47153722435
Ema_43,71540.88895892666
Ema_44,71549.01604567705
Ema_45,71556.86708525081
Ema_46,71564.45548442665
Ema_47,71571.79383135286
Ema_48,71578.89395329186
Ema_49,71585.76697003999
Ema_50,71592.42334331643
Ema_51,71598.87292241007
Ema_52,71605.12498636032
Ema_53,71611.18828293344
Ema_54,71617.07106464234
Ema_55,71622.78112204165
Ema_56,71628.32581451116
Ema_57,71633.71209873022
Ema_58,71638.94655502473
Ema_59,71644.03541175953
Ema_60,71648.98456793047
Ema_61,71653.7996141029
Ema_62,71658.48585182543
Ema_63,71663.04831164434
Ema_64,71667.49176982608
Ema_65,71671.82076389283
Ema_66,71676.03960706241
Ema_67,71680.15240168008
Ema_68,71684.16305171904
Ema_69,71688.07527442266
Ema_70,71691.89261115421
Ema_71,71695.61843751377
Ema_72,71699.25597277947
Ema_73,71702.80828872166
Ema_74,71706.27831783863
Ema_75,71709.66886105615
Ema_76,71712.98259492978
Ema_77,71716.22207838683
Ema_78,71719.38975904103
Ema_79,71722.48797911059
Ema_80,71725.51898096778
Ema_81,71728.4849123462
Ema_82,71731.38783122995
Ema_83,71734.22971044615
Ema_84,71737.01244198205
Ema_85,71739.73784104471
Ema_86,71742.40764988172
Ema_87,71745.02354137774
Ema_88,71747.58712244338
Ema_89,71750.09993720867
Ema_90,71752.56347003485
Ema_91,71754.97914835591
Ema_92,71757.34834536123
Ema_93,71759.67238252902
Ema_94,71761.95253202066
Ema_95,71764.1900189436
Ema_96,71766.38602349279
Ema_97,71768.5416829761
Ema_98,71770.65809373277
Ema_99,71772.7363129499
Ema_100,71774.7773603845
