,15m
Date,2024/04/01 16:15:00
Timestamp,1711988100000
Ema_1,69498.0
Ema_2,69176.84272384361
Ema_3,69066.97790867834
Ema_4,69101.90224079076
Ema_5,69192.19856416089
Ema_6,69298.35141399439
Ema_7,69404.3299710048
Ema_8,69503.97923424124
Ema_9,69595.31026100913
Ema_10,69678.09518648993
Ema_11,69752.82442027034
Ema_12,69820.24458222177
Ema_13,69881.15337919189
Ema_14,69936.31149692085
Ema_15,69986.40864111458
Ema_16,70032.05458498347
Ema_17,70073.78141577513
Ema_18,70112.05037014319
Ema_19,70147.26010866357
Ema_20,70179.75497040205
Ema_21,70209.83257967903
Ema_22,70237.75058336278
Ema_23,70263.73249048243
Ema_24,70287.97267256628
Ema_25,70310.64061641306
Ema_26,70331.8845283439
Ema_27,70351.83438429124
Ema_28,70370.60451047329
Ema_29,70388.29576838545
Ema_30,70404.99740708561
Ema_31,70420.78863599143
Ema_32,70435.73996287124
Ema_33,70449.91433441154
Ema_34,70463.36811058907
Ema_35,70476.15189891032
Ema_36,70488.31127028982
Ema_37,70499.8873747568
Ema_38,70510.91747221719
Ema_39,70521.43539103086
Ema_40,70531.47192511387
Ema_41,70541.05517858054
Ema_42,70550.21086551629
Ema_43,70558.96257129284
Ema_44,70567.33198085464
Ema_45,70575.33907857281
Ema_46,70583.002323579
Ema_47,70590.33880390415
Ema_48,70597.36437226384
Ema_49,70604.09376591608
Ema_50,70610.54071267082
Ema_51,70616.71802483623
Ema_52,70622.63768263826
Ema_53,70628.31090843241
Ema_54,70633.74823285243
Ema_55,70638.95955388452
Ema_56,70643.95418971739
Ema_57,70648.74092611851
Ema_58,70653.32805897573
Ema_59,70657.72343257221
Ema_60,70661.93447408051
Ema_61,70665.96822471055
Ema_62,70669.83136788078
Ema_63,70673.53025474814
Ema_64,70677.0709273805
Ema_65,70680.4591398291
Ema_66,70683.70037732342
Ema_67,70686.79987378715
Ema_68,70689.76262784813
Ema_69,70692.59341749804
Ema_70,70695.29681353708
Ema_71,70697.87719192573
Ema_72,70700.33874515207
Ema_73,70702.68549270756
Ema_74,70704.9212907593
Ema_75,70707.04984109366
Ema_76,70709.07469939884
Ema_77,70710.99928294789
Ema_78,70712.82687773454
Ema_79,70714.56064511354
Ema_80,70716.2036279861
Ema_81,70717.75875657167
Ema_82,70719.22885380076
Ema_83,70720.61664035909
Ema_84,70721.92473941563
Ema_85,70723.15568105482
Ema_86,70724.31190644192
Ema_87,70725.39577173784
Ema_88,70726.40955178697
Ema_89,70727.35544359319
Ema_90,70728.23556959716
Ema_91,70729.05198077616
Ema_92,70729.80665957264
Ema_93,70730.50152266785
Ema_94,70731.13842361039
Ema_95,70731.71915530608
Ema_96,70732.24545238711
Ema_97,70732.71899345718
Ema_98,70733.14140323015
Ema_99,70733.51425456445
Ema_100,70733.83907040032
