,3m
Date,2024/04/01 16:54:00
Timestamp,1711990440000
Ema_1,68000.0
Ema_2,68297.37160433416
Ema_3,68483.94789342614
Ema_4,68605.23843417826
Ema_5,68688.78045990122
Ema_6,68747.67605572866
Ema_7,68789.48358299755
Ema_8,68819.35331413717
Ema_9,68841.0669674032
Ema_10,68857.43724946128
Ema_11,68870.52685952994
Ema_12,68881.81247919999
Ema_13,68892.32108352322
Ema_14,68902.74258731204
Ema_15,68913.51996777902
Ema_16,68924.91909707712
Ema_17,68937.08145218788
Ema_18,68950.06308083866
Ema_19,68963.86292365043
Ema_20,68978.44310153005
Ema_21,68993.74324968137
Ema_22,69009.69050188488
Ema_23,69026.20633185378
Ema_24,69043.21114501325
Ema_25,69060.62727420098
Ema_26,69078.38085311574
Ema_27,69096.40290866212
Ema_28,69114.62991636932
Ema_29,69133.00399269866
Ema_30,69151.47284727058
Ema_31,69169.9895815534
Ema_32,69188.51239442064
Ema_33,69207.00423632881
Ema_34,69225.43244060168
Ema_35,69243.76835089651
Ema_36,69261.98695729836
Ema_37,69280.06654883224
Ema_38,69297.98838694942
Ema_39,69315.73640231686
Ema_40,69333.29691572378
Ema_41,69350.65838292667
Ema_42,69367.81116260188
Ema_43,69384.7473061858
Ema_44,69401.46036816489
Ema_45,69417.94523527479
Ema_46,69434.1979730534
Ema_47,69450.21568822084
Ema_48,69465.99640543268
Ema_49,69481.5389570337
Ema_50,69496.84288453912
Ema_51,69511.90835067067
Ema_52,69526.73606087585
Ema_53,69541.32719335213
Ema_54,69555.68333669273
Ema_55,69569.80643435803
Ema_56,69583.69873524885
Ema_57,69597.36274974048
Ema_58,69610.80121059378
Ema_59,69624.01703822683
Ema_60,69637.01330987812
Ema_61,69649.7932322515
Ema_62,69662.36011726173
Ema_63,69674.7173605595
Ema_64,69686.86842252802
Ema_65,69698.81681149387
Ema_66,69710.56606891015
Ema_67,69722.1197563047
Ema_68,69733.48144379967
Ema_69,69744.65470003743
Ema_70,69755.64308336015
Ema_71,69766.45013410793
Ema_72,69777.07936791748
Ema_73,69787.53426991041
Ema_74,69797.81828967646
Ema_75,69807.93483696695
Ema_76,69817.88727801866
Ema_77,69827.67893244135
Ema_78,69837.3130706064
Ema_79,69846.79291148136
Ema_80,69856.12162086186
Ema_81,69865.30230995532
Ema_82,69874.33803427865
Ema_83,69883.23179283142
Ema_84,69891.98652751793
Ema_85,69900.60512278276
Ema_86,69909.09040544093
Ema_87,69917.44514467513
Ema_88,69925.67205218272
Ema_89,69933.77378245298
Ema_90,69941.75293315545
Ema_91,69949.61204563038
Ema_92,69957.35360546329
Ema_93,69964.98004313398
Ema_94,69972.49373473016
Ema_95,69979.897002711
Ema_96,69987.19211672344
Ema_97,69994.38129444917
Ema_98,70001.46670248745
Ema_99,70008.45045726266
Ema_100,70015.33462595052
