,5m
Date,2024/04/01 16:50:00
Timestamp,1711990200000
Ema_1,67800.0
Ema_2,68213.64122572882
Ema_3,68440.79322967054
Ema_4,68578.33937272498
Ema_5,68663.01759543268
Ema_6,68716.9526628745
Ema_7,68754.32267524481
Ema_8,68783.74702752862
Ema_9,68810.13712160115
Ema_10,68836.09838217882
Ema_11,68862.8760363537
Ema_12,68890.94716450351
Ema_13,68920.37514952054
Ema_14,68951.01566042285
Ema_15,68982.63334479922
Ema_16,69014.96598489294
Ema_17,69047.7582076905
Ema_18,69080.77780271004
Ema_19,69113.82228839971
Ema_20,69146.72016913151
Ema_21,69179.3294455649
Ema_22,69211.53484020934
Ema_23,69243.24455632418
Ema_24,69274.38701319895
Ema_25,69304.90778369928
Ema_26,69334.76683577952
Ema_27,69363.93611015809
Ema_28,69392.39742891234
Ema_29,69420.14071097446
Ema_30,69447.16246242843
Ema_31,69473.4645074222
Ema_32,69499.05292662284
Ema_33,69523.93717282926
Ema_34,69548.12933669545
Ema_35,69571.64353895874
Ema_36,69594.49542886557
Ema_37,69616.70177148
Ema_38,69638.28010921973
Ema_39,69659.24848527125
Ema_40,69679.62521851558
Ema_41,69699.42872128524
Ema_42,69718.6773526933
Ema_43,69737.38930147453
Ema_44,69755.58249328555
Ema_45,69773.27451824673
Ema_46,69790.48257521627
Ema_47,69807.22342986667
Ema_48,69823.51338412709
Ema_49,69839.36825496028
Ema_50,69854.80336077965
Ema_51,69869.83351410051
Ema_52,69884.4730192507
Ema_53,69898.73567416363
Ema_54,69912.6347754416
Ema_55,69926.18312601591
Ema_56,69939.39304483884
Ema_57,69952.27637814691
Ema_58,69964.84451190622
Ema_59,69977.10838512401
Ema_60,69989.07850376087
Ema_61,70000.76495503145
Ema_62,70012.17742191147
Ema_63,70023.3251977136
Ema_64,70034.21720060777
Ema_65,70044.86198799823
Ema_66,70055.26777067794
Ema_67,70065.44242670466
Ema_68,70075.39351494904
Ema_69,70085.12828828422
Ema_70,70094.65370638792
Ema_71,70103.97644813995
Ema_72,70113.10292360568
Ema_73,70122.0392855946
Ema_74,70130.79144079523
Ema_75,70139.36506048674
Ema_76,70147.76559082963
Ema_77,70155.99826274348
Ema_78,70164.06810137862
Ema_79,70171.97993519144
Ema_80,70179.73840463391
Ema_81,70187.34797046756
Ema_82,70194.8129217159
Ema_83,70202.13738326317
Ema_84,70209.32532311794
Ema_85,70216.3805593469
Ema_86,70223.30676669785
Ema_87,70230.10748291874
Ema_88,70236.78611478991
Ema_89,70243.34594387817
Ema_90,70249.79013202318
Ema_91,70256.12172657324
Ema_92,70262.34366537546
Ema_93,70268.45878153443
Ema_94,70274.46980795
Ema_95,70280.37938163955
Ema_96,70286.19004786419
Ema_97,70291.90426405548
Ema_98,70297.52440356233
Ema_99,70303.05275922152
Ema_100,70308.49154676056
