,2h
Date,2024/04/01 14:00:00
Timestamp,1711980000000
Ema_1,71099.9
Ema_2,71143.24091695836
Ema_3,71126.97160158158
Ema_4,71116.07227503424
Ema_5,71110.68080497725
Ema_6,71107.54528423327
Ema_7,71105.07776317224
Ema_8,71102.93606195845
Ema_9,71101.29490957975
Ema_10,71100.43538682189
Ema_11,71100.57981588834
Ema_12,71101.85087838149
Ema_13,71104.28080304223
Ema_14,71107.83502705501
Ema_15,71112.43583001255
Ema_16,71117.98127285793
Ema_17,71124.35882941273
Ema_18,71131.4545053064
Ema_19,71139.15854118027
Ema_20,71147.36869419504
Ema_21,71155.99187956928
Ema_22,71164.94474487516
Ema_23,71174.15357899618
Ema_24,71183.5538292492
Ema_25,71193.08940803907
Ema_26,71202.71190625125
Ema_27,71212.37978683283
Ema_28,71222.05760270984
Ema_29,71231.71526388494
Ema_30,71241.32736607529
Ema_31,71250.87258536993
Ema_32,71260.3331385597
Ema_33,71269.69430598643
Ema_34,71278.94401226188
Ema_35,71288.07245953525
Ema_36,71297.07180784561
Ema_37,71305.93589725278
Ema_38,71314.66000677533
Ema_39,71323.24064558605
Ema_40,71331.6753723619
Ema_41,71339.96263914082
Ema_42,71348.10165645924
Ema_43,71356.09227694033
Ema_44,71363.93489486311
Ema_45,71371.6303595584
Ema_46,71379.17990076513
Ema_47,71386.58506432621
Ema_48,71393.8476568236
Ema_49,71400.96969793993
Ema_50,71407.95337949923
Ema_51,71414.80103028205
Ema_52,71421.515085834
Ema_53,71428.09806259128
Ema_54,71434.55253574009
Ema_55,71440.88112030746
Ema_56,71447.08645504416
Ema_57,71453.17118872706
Ema_58,71459.13796855092
Ema_59,71464.98943033043
Ema_60,71470.72819026526
Ema_61,71476.35683805957
Ema_62,71481.87793120848
Ema_63,71487.29399029676
Ema_64,71492.6074951678
Ema_65,71497.82088184511
Ema_66,71502.93654010192
Ema_67,71507.95681158871
Ema_68,71512.88398843941
Ema_69,71517.72031228931
Ema_70,71522.46797364426
Ema_71,71527.12911155069
Ema_72,71531.70581352152
Ema_73,71536.20011567828
Ema_74,71540.6140030768
Ema_75,71544.94941018696
Ema_76,71549.20822150032
Ema_77,71553.39227224447
Ema_78,71557.50334918474
Ema_79,71561.54319149617
Ema_80,71565.51349169212
Ema_81,71569.4158965972
Ema_82,71573.25200835287
Ema_83,71577.0233854477
Ema_84,71580.73154376388
Ema_85,71584.37795763268
Ema_86,71587.96406089437
Ema_87,71591.49124795607
Ema_88,71594.96087484494
Ema_89,71598.37426025223
Ema_90,71601.73268656491
Ema_91,71605.03740088378
Ema_92,71608.2896160244
Ema_93,71611.49051150065
Ema_94,71614.64123448878
Ema_95,71617.7429007703
Ema_96,71620.79659565486
Ema_97,71623.80337488034
Ema_98,71626.76426549107
Ema_99,71629.6802666934
Ema_100,71632.55235068897
