,12h
Date,2024/04/01 00:00:00
Timestamp,1711929600000
Ema_1,70428.7
Ema_2,70672.9185185185
Ema_3,70800.73749999999
Ema_4,70898.11839999999
Ema_5,70976.02592592593
Ema_6,71039.40991253644
Ema_7,71091.7046875
Ema_8,71135.42825788751
Ema_9,71172.44080000001
Ema_10,71204.12742299022
Ema_11,71231.53101851852
Ema_12,71255.44688211198
Ema_13,71276.4895043732
Ema_14,71295.13979259261
Ema_15,71311.77871093749
Ema_16,71326.71150010177
Ema_17,71340.18532235938
Ema_18,71352.40227438402
Ema_19,71363.5291
Ema_20,71373.70452434942
Ema_21,71383.0448534936
Ema_22,71391.64829456728
Ema_23,71399.59832175924
Ema_24,71406.9663232
Ema_25,71413.81370050069
Ema_26,71420.19354773154
Ema_27,71426.15200437319
Ema_28,71431.72935339704
Ema_29,71436.96091851854
Ema_30,71441.87780202075
Ema_31,71446.50749511718
Ema_32,71450.87438573058
Ema_33,71455.00018318747
Ema_34,71458.90427521864
Ema_35,71462.60402949246
Ema_36,71466.11504945414
Ema_37,71469.45139233125
Ema_38,71472.62575566006
Ema_39,71475.64963749998
Ema_40,71478.53347455781
Ema_41,71481.2867616888
Ema_42,71483.9181556341
Ema_43,71486.4355653644
Ema_44,71488.84623100136
Ema_45,71491.15679296458
Ema_46,71493.37335272532
Ema_47,71495.50152633102
Ema_48,71497.5464916829
Ema_49,71499.51303039999
Ema_50,71501.4055649788
Ema_51,71503.22819185254
Ema_52,71504.9847108687
Ema_53,71506.67865162832
Ema_54,71508.31329706986
Ema_55,71509.89170462829
Ema_56,71511.4167252542
Ema_57,71512.89102054204
Ema_58,71514.31707818227
Ema_59,71515.69722592592
Ema_60,71517.0336442257
Ema_61,71518.32837769798
Ema_62,71519.58334553105
Ema_63,71520.80035095217
Ema_64,71521.98108984981
Ema_65,71523.12715863876
Ema_66,71524.24006144374
Ema_67,71525.32121667004
Ema_68,71526.3719630208
Ema_69,71527.39356501457
Ema_70,71528.3872180514
Ema_71,71529.35405306927
Ema_72,71530.2951408293
Ema_73,71531.21149586403
Ema_74,71532.10408011853
Ema_75,71532.97380631289
Ema_76,71533.82154104962
Ema_77,71534.64810768893
Ema_78,71535.45428901161
Ema_79,71536.2408296875
Ema_80,71537.00843856609
Ema_81,71537.75779080397
Ema_82,71538.48952984241
Ema_83,71539.20426924738
Ema_84,71539.90259442297
Ema_85,71540.58506420816
Ema_86,71541.25221236654
Ema_87,71541.90454897634
Ema_88,71542.54256172964
Ema_89,71543.16671714677
Ema_90,71543.77746171229
Ema_91,71544.3752229391
Ema_92,71544.96041036506
Ema_93,71545.53341648767
Ema_94,71546.09461764107
Ema_95,71546.64437481914
Ema_96,71547.18303444935
Ema_97,71547.71092911967
Ema_98,71548.22837826278
Ema_99,71548.7356888
Ema_100,71549.23315574769
