,1m
Date,2024/04/01 16:58:00
Timestamp,1711990680000
Ema_1,69000.0
Ema_2,68659.32309256798
Ema_3,68504.62796415278
Ema_4,68438.2742339856
Ema_5,68416.97947295883
Ema_6,68418.98194519064
Ema_7,68433.09665503252
Ema_8,68453.39913305888
Ema_9,68476.63450971038
Ema_10,68500.94932686967
Ema_11,68525.25729957
Ema_12,68548.91146534616
Ema_13,68571.5279384874
Ema_14,68592.8870832927
Ema_15,68612.87561212521
Ema_16,68631.45109603553
Ema_17,68648.61920461584
Ema_18,68664.41846193133
Ema_19,68678.90963373825
Ema_20,68692.1681035364
Ema_21,68704.27827145939
Ema_22,68715.32938523962
Ema_23,68725.41242484654
Ema_24,68734.61778567058
Ema_25,68743.03357917765
Ema_26,68750.74441651934
Ema_27,68757.8305714941
Ema_28,68764.36744103115
Ema_29,68770.42523756676
Ema_30,68776.06886027017
Ema_31,68781.35790217972
Ema_32,68786.3467585604
Ema_33,68791.08480860307
Ema_34,68795.6166482277
Ema_35,68799.98235640273
Ema_36,68804.21778123747
Ema_37,68808.3548352367
Ema_38,68812.42179166443
Ema_39,68816.44357602502
Ema_40,68820.44204831617
Ema_41,68824.43627302551
Ema_42,68828.44277486645
Ema_43,68832.47577905252
Ema_44,68836.54743552368
Ema_45,68840.66802700165
Ema_46,68844.84616109804
Ema_47,68849.08894694406
Ema_48,68853.40215698935
Ema_49,68857.79037472865
Ema_50,68862.25712918487
Ema_51,68866.8050170149
Ema_52,68871.43581311085
Ema_53,68876.15057055834
Ema_54,68880.94971079021
Ema_55,68885.83310474303
Ema_56,68890.8001457737
Ema_57,68895.84981506155
Ema_58,68900.98074016496
Ema_59,68906.19124735951
Ema_60,68911.47940833562
Ema_61,68916.84308179337
Ema_62,68922.27995041851
Ema_63,68927.78755369873
Ema_64,68933.36331698069
Ema_65,68939.00457715172
Ema_66,68944.70860527946
Ema_67,68950.47262652505
Ema_68,68956.29383760596
Ema_69,68962.16942206546
Ema_70,68968.09656357727
Ema_71,68974.07245749391
Ema_72,68980.0943208261
Ema_73,68986.15940082184
Ema_74,68992.26498229659
Ema_75,68998.40839385484
Ema_76,69004.58701312223
Ema_77,69010.79827110183
Ema_78,69017.03965575268
Ema_79,69023.30871488061
Ema_80,69029.60305842168
Ema_81,69035.92036018845
Ema_82,69042.25835914607
Ema_83,69048.61486027211
Ema_84,69054.98773505693
Ema_85,69061.3749216838
Ema_86,69067.77442493575
Ema_87,69074.18431586308
Ema_88,69080.60273124532
Ema_89,69087.02787287605
Ema_90,69093.45800669529
Ema_91,69099.89146179681
Ema_92,69106.32662932508
Ema_93,69112.76196128641
Ema_94,69119.19596928496
Ema_95,69125.62722319791
Ema_96,69132.05434981093
Ema_97,69138.47603141134
Ema_98,69144.8910043599
Ema_99,69151.29805764569
Ema_100,69157.6960314304
