,1h
Date,2024/04/01 15:00:00
Timestamp,1711983600000
Ema_1,66600.1
Ema_2,68053.9624759299
Ema_3,68757.0797470937
Ema_4,69176.67561957832
Ema_5,69458.97045780369
Ema_6,69664.24481393919
Ema_7,69821.56134949609
Ema_8,69946.6013952551
Ema_9,70048.61623563683
Ema_10,70133.48274158683
Ema_11,70205.1712555595
Ema_12,70266.5015786281
Ema_13,70319.55621320962
Ema_14,70365.91917127973
Ema_15,70406.82168149092
Ema_16,70443.23589953945
Ema_17,70475.93820136544
Ema_18,70505.55380857975
Ema_19,70532.58939139728
Ema_20,70557.45756553988
Ema_21,70580.49569521299
Ema_22,70601.98055626433
Ema_23,70622.13990534811
Ema_24,70641.1616871235
Ema_25,70659.2014093291
Ema_26,70676.38807977861
Ema_27,70692.82900457137
Ema_28,70708.6136785155
Ema_29,70723.81694819857
Ema_30,70738.50158991136
Ema_31,70752.7204152661
Ema_32,70766.51799451298
Ema_33,70779.93206964227
Ema_34,70792.99471520654
Ema_35,70805.73329355016
Ema_36,70818.17124217201
Ema_37,70830.32872376691
Ema_38,70842.22316373659
Ema_39,70853.86969532503
Ema_40,70865.28152879524
Ema_41,70876.47025804975
Ema_42,70887.44611564833
Ema_43,70898.2181851922
Ema_44,70908.79457843864
Ema_45,70919.18258318829
Ema_46,70929.38878692589
Ema_47,70939.41918031427
Ema_48,70949.27924393017
Ema_49,70958.9740210412
Ema_50,70968.50817874179
Ema_51,70977.88605937222
Ema_52,70987.11172381596
Ema_53,70996.1889880016
Ema_54,71005.12145371441
Ema_55,71013.91253463988
Ema_56,71022.56547840341
Ema_57,71031.08338525197
Ema_58,71039.46922391141
Ema_59,71047.72584507028
Ema_60,71055.85599286448
Ema_61,71063.86231468098
Ema_62,71071.74736954192
Ema_63,71079.513635296
Ema_64,71087.1635147992
Ema_65,71094.69934124599
Ema_66,71102.12338278083
Ema_67,71109.43784650379
Ema_68,71116.6448819616
Ema_69,71123.74658420465
Ema_70,71130.74499647706
Ema_71,71137.64211259485
Ema_72,71144.43987906093
Ema_73,71151.14019695546
Ema_74,71157.74492363684
Ema_75,71164.25587428136
Ema_76,71170.67482328428
Ema_77,71177.00350554533
Ema_78,71183.24361765268
Ema_79,71189.39681898203
Ema_80,71195.46473272213
Ema_81,71201.44894683658
Ema_82,71207.35101497197
Ema_83,71213.17245731727
Ema_84,71218.91476142372
Ema_85,71224.57938298665
Ema_86,71230.16774659754
Ema_87,71235.6812464658
Ema_88,71241.12124711729
Ema_89,71246.48908406998
Ema_90,71251.78606448749
Ema_91,71257.01346781632
Ema_92,71262.17254640441
Ema_93,71267.26452610463
Ema_94,71272.29060686378
Ema_95,71277.25196329576
Ema_96,71282.14974524474
Ema_97,71286.98507833277
Ema_98,71291.75906449744
Ema_99,71296.472782517
Ema_100,71301.12728852492
